dataset_name,task_type,best_model,score,train_time_sec
43357_Within-project-Defect-Prediction-for-Ansible.csv,Classification,RandomForest,0.964946760141973,54.5612000_classification.csv,Classification,GradientBoosting,0.9222665148063781,2.6244
001_classification.csv,Classification,SVC,0.9228020014295926,1.51
002_classification.csv,Classification,GradientBoosting,0.8715162966461975,12.7689
003_classification.csv,Classification,SVC,0.9464627151051626,0.1447
004_classification.csv,Classification,GradientBoosting,0.9743912678421495,3.2396
005_classification.csv,Classification,RandomForest,0.8574453425647403,102.1079
006_classification.csv,Classification,SVC,0.7458359037631092,3.3237
007_classification.csv,Classification,SVC,0.9392369288742346,3.824
008_classification.csv,Classification,GradientBoosting,0.8697211155378486,8.2603
010_classification.csv,Classification,GradientBoosting,0.876066457117198,2.7919
011_classification.csv,Classification,GradientBoosting,0.9738193018480493,7.8221
012_classification.csv,Classification,SVC,0.7267987486965589,4.465
013_classification.csv,Classification,RandomForest,0.9487372618520159,36.893
014_classification.csv,Classification,GradientBoosting,0.5972369819341127,4.3595
015_classification.csv,Classification,GradientBoosting,0.8792763539371449,7.9498
016_classification.csv,Classification,GradientBoosting,0.9332027424094026,3.6402
017_classification.csv,Classification,RandomForest,0.7832941781073343,59.4901
018_classification.csv,Classification,SVC,0.9603563474387528,2.0645
019_classification.csv,Classification,GradientBoosting,0.9382113821138212,0.8639
020_classification.csv,Classification,SVC,0.9764805894020969,2.8251
021_classification.csv,Classification,SVC,0.940983007491321,18.8687
022_classification.csv,Classification,SVC,0.9835514018691589,3.8881
023_classification.csv,Classification,SVC,0.844337811900192,28.33
024_classification.csv,Classification,GradientBoosting,0.9956302693810405,2.9227
025_classification.csv,Classification,SVC,0.8935849056603774,1.98
026_classification.csv,Classification,GradientBoosting,0.9383290135691417,9.2297
027_classification.csv,Classification,SVC,0.9717391304347827,50.7475
028_classification.csv,Classification,SVC,0.9681475272422464,1.9757
029_classification.csv,Classification,RandomForest,0.9009423378954454,6.2375
030_classification.csv,Classification,SVC,0.7768670309653917,4.5799
031_classification.csv,Classification,GradientBoosting,0.8995893990294886,7.8179
032_classification.csv,Classification,RandomForest,0.6465587044534413,1.8455
033_classification.csv,Classification,SVC,0.805606337599025,2.1603
034_classification.csv,Classification,GradientBoosting,0.9138620459846718,2.0675
017.csv,Classification,LogisticRegression,1.0,6.4774
018.csv,Classification,LogisticRegression,0.5217540253511477,3.325
019.csv,Classification,RandomForest,0.9968282736746715,1.2671
020.csv,Classification,LogisticRegression,1.0,3.9722
021.csv,Classification,KNN,0.5029423840153278,0.7964
022.csv,Classification,DecisionTree,0.5057749127048079,3.7614
023.csv,Classification,RandomForest,0.9987734361310671,12.9874
024.csv,Classification,LogisticRegression,0.931161324224908,1.1185
025.csv,Classification,LogisticRegression,1.0,1.1237
026.csv,Classification,RandomForest,0.9986774017557492,175.6908
027.csv,Classification,RandomForest,0.9993918384722983,6.8399
028.csv,Classification,LogisticRegression,1.0,2.847
029.csv,Classification,RandomForest,1.0,0.6347
030_classification.csv,Classification,GradientBoosting,0.9727342973838172,0.8814
031.csv,Classification,RandomForest,1.0,0.4634
032.csv,Classification,GradientBoosting,0.9926289926289926,0.3711
033.csv,Classification,LogisticRegression,1.0,3.008
034_classification.csv,Classification,GradientBoosting,0.9772574802093117,0.8621
18_classification_dataset.csv,Classification,KNN,0.29514563106796116,0.0344
19_classification_dataset.csv,Classification,LogisticRegression,0.8574908647990256,4.2086
20_classification_dataset.csv,Classification,KNN,0.29288398593768944,15.5958
21_classification_dataset.csv,Classification,KNN,0.9328968903436988,0.0772
22_classification_dataset.csv,Classification,KNN,0.36467131839882483,0.0742
23_classification_dataset.csv,Classification,KNN,0.6653465346534654,0.045
24_classification_dataset.csv,Classification,KNN,0.14549221412818286,4.2378
25_classification_dataset.csv,Classification,LogisticRegression,0.7979990471653168,2.6559
26_classification_dataset.csv,Classification,KNN,0.16462536023054755,0.085
27_classification_dataset.csv,Classification,KNN,0.7262350788533589,0.659
28_classification_dataset.csv,Classification,KNN,0.24470318228889698,5.9904
29_classification_dataset.csv,Classification,LogisticRegression,0.9884971242810703,1.0759
30_classification_dataset.csv,Classification,LogisticRegression,0.8432229856339788,1.0485
31_classification_dataset.csv,Classification,KNN,0.31209150326797386,0.3452

