n_instances,n_features,n_num_features,n_cat_features,missing_values_pct,class_entropy,n_classes,mean_skewness,mean_kurtosis,avg_correlation,max_correlation,mean_corr_with_target,max_corr_with_target,mean_mutual_info,max_mutual_info,pca_fraction_95,feature_to_instance_ratio,task_type,best_model
833856,19,19,3,0.0,1.0,2,1.608294163,3.583448368,0.037001809,0.738094449,0.0,0.0,0.064177521,0.616697481,0.833333333,2.28e-05,classification,GradientBoosting
21618,7,7,0,0.0,1.0,2,0.427494841,0.072407569,0.100302246,0.459474523,0.082785964,0.159157812,0.196603598,0.379489222,1.0,0.000323804,classification,RandomForest
2108,46,46,0,0.0,1.0,2,4.715966924,54.65444539,0.062349264,0.924719855,0.148601096,0.49419197,0.030585244,0.256453975,0.794871795,0.021821632,classification,LogisticRegression
833856,19,19,3,0.0,1.0,2,1.608294163,3.583448368,0.037001809,0.738094449,0.0,0.0,0.064304061,0.616749492,0.833333333,2.28e-05,classification,GradientBoosting
21618,7,7,0,0.0,1.0,2,0.427494841,0.072407569,0.100302246,0.459474523,0.082785964,0.159157812,0.195729042,0.378573005,1.0,0.000323804,classification,RandomForest
4096,2,2,0,0.0,1.0,2,0.136386774,-0.817107698,0.215251211,0.215251211,0.068552794,0.07143054,0.086518997,0.126952928,1.0,0.000488281,classification,SVC
1010,3,3,0,0.0,1.0,2,-0.151714425,-0.308905611,0.589328903,0.734431955,0.152461618,0.407174786,0.114091748,0.229801748,1.0,0.002970297,classification,RandomForest
5562,14,14,0,0.0,1.0,2,0.64117152,0.925140582,0.036447786,0.269462211,0.117893571,0.330450405,0.196863022,0.426761596,0.928571429,0.00251708,classification,GradientBoosting
42480,193,193,0,0.0,3.321928095,10,-0.001012785,1.07165429,0.000258218,0.001848762,0.011808162,0.108230426,0.01513159,0.117958071,0.953367876,0.004543315,classification,SVC
239084,8,8,0,0.0,1.0,2,0.028869021,-0.300641252,0.207819758,0.797830668,0.106207788,0.563470144,0.108524106,0.318841744,0.75,3.35e-05,classification,GradientBoosting
10140,14,14,0,0.0,1.0,2,0.12822812,0.369234633,0.372537312,0.866902966,0.094417891,0.216549524,0.074349731,0.093474273,0.714285714,0.001380671,classification,KNN
816,169,169,0,0.0,3.794982488,21,-0.005826585,0.205134089,7.39e-17,2.07e-15,0.038729913,0.516508182,0.039808501,0.964780513,0.952662722,0.207107843,classification,LogisticRegression
1124,15,15,0,0.0,1.0,2,2.814610742,31.43946519,0.487074294,0.94903745,0.157451403,0.236487136,0.122832501,0.241262474,0.533333333,0.013345196,classification,GradientBoosting
16880,5,5,0,0.0,1.0,2,0.374057726,-0.35920709,0.228857517,0.848667697,0.0,0.0,0.056911318,0.128433835,0.8,0.000296209,classification,GradientBoosting
2134,27,27,0,0.0,1.0,2,1.807363458,7.907404719,0.36102149,0.939591968,0.152089855,0.492574477,0.266933135,0.557476325,0.518518519,0.012652296,classification,GradientBoosting
1450,25,25,0,0.0,3.321928095,10,0.046928757,0.121888821,0.039639873,0.203548251,0.137908599,0.322676631,0.276727675,0.902141914,0.96,0.017241379,classification,LogisticRegression
478,14,14,2,19.48051948,7.694195176,241,0.828441813,11.21743683,0.2311506,0.823092048,0.419032723,0.906174952,1.059257312,4.034940688,0.727272727,0.029288703,classification,KNN
