n_instances,n_features,n_num_features,n_cat_features,missing_values_pct,mean_skewness,mean_kurtosis,avg_correlation,max_correlation,mean_corr_with_target,max_corr_with_target,pca_fraction_95,var_mean,var_std,mean_feature_entropy,feature_to_instance_ratio,task_type,best_model
15278,4,4,1,0.0,0.4892830706969226,0.3424554329826655,0.0414463111133439,0.0962136396227196,0.2765919749954109,0.9982863205402048,1.0,12.946902119724776,0.1995373070148116,1.7839690805791166,0.0002618143736091,regression,SVR
85044,4,4,1,0.0,0.3573227521385245,-0.6602411758915019,0.1902158098674272,0.5260665905462014,0.4041025494131824,1.0,1.0,0.3122725347930963,0.0566921154809438,1.4172402895009566,4.703447627110673e-05,regression,GradientBoosting
85385,4,4,1,0.0,0.044326521055522,-0.5596429695520813,0.1794477036180304,0.2929403149206953,0.3685941462845164,1.0,1.0,0.4933669832011626,0.0604112080241534,1.3858653466129904,4.6846635825964746e-05,regression,Ridge
189757,4,4,1,0.0,0.2482086959383806,-0.3558769123291972,0.2555926296146055,0.6051706261705823,0.5411930322522572,0.9999999999999996,1.0,0.6492141490140447,0.0560949364553298,1.702300786584973,2.107959126672533e-05,regression,GradientBoosting
22259,18,18,1,0.0001186598555909,9.857434509077455,1436.095447760378,0.0550858907132606,0.3860729798947635,0.1712531029497695,0.9999999999999964,0.9166666666666666,0.0822938040860747,0.1901684573706738,0.2362295188386357,0.0008086616649445,regression,SVR
28000,30,30,21,9.9929,0.2888043023822223,-1.161097338510533,0.0263053758328395,0.9086317080495294,0.1438798013051054,0.9999999999999998,0.8666666666666667,136136.75789762705,0.341345339340521,1.3712288231147125,0.0010714285714285,regression,Lasso
264646,44,44,14,20.08396461409886,12.761488996375068,4354.109138214894,0.0529161789662323,1.0,0.1112193079843252,0.6250829933335204,0.6756756756756757,26867.836574872872,1.1913549747915524,1.0054775762001398,0.0001662598338913,regression,GradientBoosting
89404,5,5,9,5.88235294117647,1.160409547597645,6.564326857196123,0.0800684946584431,0.3820966503277452,0.1520869289971474,0.4377825616591749,1.0,7857076.927278954,122544.95581149618,1.7378603403405766,5.592590935528612e-05,regression,RandomForest
15550,15,15,1,0.0004056910338224,0.0127147759070777,-0.1684015141398726,0.1688221404102038,0.9179775933555344,0.1634656353977512,0.3481826817095956,0.7,404278.38779241376,124.91095618008652,1.612703885782722,0.0009646302250803,regression,DecisionTree
64358,16,16,7,4.4069,2.531870286323093,11.96165622498101,0.1439659234295948,0.9452713928383164,0.3062886600368624,0.9885909294817838,0.75,0.0219896905558114,0.1459602290532943,0.7573511541419599,0.000248609341496,regression,DecisionTree
22259,17,17,1,0.0001252520697904,10.376641838506,1520.6253848625977,0.0609382063623613,0.3860729798947635,0.1800196530525556,0.9999999999999964,0.9090909090909092,0.0897740258031088,0.202854850847099,0.1850149460376985,0.000763736016892,regression,SVR
28000,23,23,20,10.409270833333332,0.3694310252835407,-1.146421515158762,0.0411919744796506,0.9086317080495294,0.1859035997809211,0.9999999999999998,0.8695652173913043,0.0345200171160361,0.0650164424813927,1.136914716324916,0.0008214285714285,regression,ElasticNet
34366,20,20,3,0.0,1.8816200741204825,3.446731758780812,0.0777109478948406,0.5694007830670886,0.0844275065526945,0.9091404408437496,0.8,0.011733432674553,0.0626078024838293,0.6592315155782618,0.00058197055229,regression,GradientBoosting
24798,11,11,3,0.0,0.6707280594592967,0.3004658573954785,0.0592189852318587,0.8362863912737634,0.107580276098156,0.2869193054265241,0.8181818181818182,76.73130749152268,2.4419216657809013,1.1423737067820192,0.0004435841600129,regression,GradientBoosting
12754,7,7,0,0.0,0.3778903398715478,-0.4215435450795825,0.2421937417042954,0.9242413256946757,0.1814572195505983,0.6459605803923394,0.5714285714285714,1.2097170109221511e-32,8.217301096052206e-33,1.9786672968280457,0.0005488474204171,regression,RandomForest
27947,7,7,0,0.0,0.4416624241478528,-0.0328559598366749,0.5686675599103906,0.9246557968028348,0.1196377853686895,0.3517097089217496,0.5714285714285714,1.4551506857018615e-31,0.0,1.9793336634388228,0.0002504741117114,regression,RandomForest
9302,16,16,0,0.0,0.1685181932305171,3.715867812019292,5.14599386377372e-16,8.409462928828899e-15,0.1209688343805033,0.5720024521965509,1.0,3.1060397797504617e-32,1.1711384776371487,1.4325281764919504,0.001720060202107,regression,RandomForest
4496,14,14,0,0.0,0.3441216686033116,-0.457034286514441,0.4715224914059237,0.8895921193703108,0.5325212757722414,0.7860130397843771,0.5714285714285714,343.8450610389661,1.536806714933649,2.088338805975169,0.0031138790035587,regression,PolynomialRegression
2028,3,3,0,0.0,-0.0548943480406802,-0.2400931142454007,0.1948787578876098,0.3967213346622341,0.4264677824139364,0.525916335631761,1.0,5.189462731636324e-31,0.0,2.064610459316871,0.0014792899408284,regression,GradientBoosting
2652,4,4,0,0.0,0.0062266738677248,-0.3671725243112272,0.2771638799746843,0.8939730446627803,0.3195548790397245,0.5606131343469939,0.75,1.2580124559712651e-34,1.6434602192104412e-32,2.004149091317409,0.0015082956259426,regression,PolynomialRegression
12718,7,7,0,0.0,0.3825803465806877,-0.4094225019687846,0.2402773605706788,0.92241566534389,0.1812328134251088,0.6291013078839607,0.5714285714285714,5.6587297695166935e-30,8.217301096052206e-33,1.977901581027089,0.0005504010064475,regression,GradientBoosting
698,5,5,4,0.0,0.7443087040934598,-0.0322612778122124,0.1166757363654726,0.4143308970717024,0.3698081597726818,0.6729233331598414,1.0,16.099178920944816,3.761988428408495,1.3483262487142782,0.0071633237822349,regression,ElasticNet
5689,32,32,0,0.0,0.620386773969207,0.9726782696574828,0.0137070702903559,0.4319995586611096,0.0600643343834173,0.5215265426268902,0.9375,2.7641022614425275,0.038267733773899,1.8990370540627604,0.0056248901388644,regression,PolynomialRegression
28537,10,10,0,0.0,0.0024032397892543,-1.1960621622861802,0.0083019262306412,0.0426507043473693,0.0065100334744258,0.0128770032440056,1.0,1.5549292248907743e-32,2.191280292280588e-32,2.3023993762751536,0.0003504222588218,regression,GradientBoosting
5172,8,8,0,0.0,0.2126535200968717,-0.7861746047195983,0.0099301558254462,0.0237954401584784,0.200278189392919,0.7465906064531721,1.0,5.305470474793178,0.0021288613816136,2.091293022764555,0.0015467904098994,regression,Ridge
11025,15,15,0,0.0,1.1148652210884622,15.487034088950976,0.1789870486617805,0.9117663513460786,0.1646210813097422,0.3339802706726928,0.8,1.5385419128586688e-31,7.043400939473319e-33,1.1676990437619603,0.001360544217687,regression,GradientBoosting
700,45,45,0,0.0,-0.0173541985075886,-0.0863488216475221,1.764431214751867e-16,1.258114095093626e-15,0.031313837403206,0.1105056943182137,0.9555555555555556,6.718640190701056e-34,0.0190575247928952,1.918069509330344,0.0642857142857142,regression,RandomForest
700,25,25,0,0.0,0.0611994077517489,-0.9886488738190968,0.0455251003383533,0.9248148811678206,0.0325636830223266,0.0809876696001173,0.84,9.78305583289802e-34,4.314083075427408e-32,2.249983639954245,0.0357142857142857,regression,GradientBoosting
700,87,87,0,0.0,0.0113293678596138,-0.0322673170676797,1.363127854937265e-16,1.6470618918739661e-15,0.0375942252761195,0.1164848036588579,0.9540229885057472,1.3401064249549536e-33,0.0382763245028666,1.9020465540107383,0.1242857142857142,regression,RandomForest
700,25,25,0,0.0,0.0223648215122579,-1.1272450711079685,0.039240263545994,0.8854812625204258,0.0326995709735824,0.1321450646438287,0.88,5.6034346354056065e-34,4.314083075427408e-32,2.2818427607659144,0.0357142857142857,regression,GradientBoosting
700,46,46,0,0.0,0.0021902846863329,-0.0809372886338651,1.6827354303591103e-16,1.2654858611774401e-15,0.0387815818352392,0.0936323981990575,0.9565217391304348,5.947620800270877e-34,0.0153689120106961,1.9102328624586395,0.0657142857142857,regression,SVR
700,25,25,0,0.0,0.0944543336352081,-0.998390896747232,0.0533977659413888,0.9274294958460828,0.0238071334131062,0.0588761230545051,0.84,8.374697629046303e-34,3.697785493223493e-32,2.2440458942046946,0.0357142857142857,regression,GradientBoosting
700,10,10,0,0.0,-0.0290603490364309,-1.1499487335427132,0.0573066164814042,0.8779138156500276,0.0236453112891451,0.070699645910421,0.9,5.40951080153937e-34,5.478200730701471e-33,2.273207902331188,0.0142857142857142,regression,GradientBoosting
700,10,10,0,0.0,-0.0294593428514349,-1.2069742595138455,0.0228786335161688,0.0986515056076772,0.0397641332143777,0.0919061031747722,1.0,7.215528242432258e-34,1.6434602192104412e-32,2.2961329649670987,0.0142857142857142,regression,GradientBoosting
700,25,25,0,0.0,-0.0007109797306865,-1.204486366361888,0.0299444234403763,0.1003530750993859,0.0397409186418969,0.101088898047639,0.96,6.1352449463403155e-34,3.903218020624798e-32,2.2959464246954107,0.0357142857142857,regression,GradientBoosting
689,5,5,0,0.0,0.0971770351046745,-0.910611563355333,0.2722170044852687,0.8847065772166337,0.2965754520691374,0.4549685715621561,0.8,8.009566804850169e-34,0.0,2.231251604859053,0.0072568940493468,regression,GradientBoosting
693,10,10,0,0.0,0.1080231925912163,-1.0322077819170743,0.0788095324204082,0.8777878213310126,0.160025692556655,0.4644373399298658,0.8,6.409137473585429e-34,1.6434602192104412e-32,2.2612512111659235,0.0144300144300144,regression,GradientBoosting
700,43,43,0,0.0,0.0172304382515223,-0.0934255872954377,1.611226581418748e-16,8.924539622866697e-16,0.0339646006104811,0.112864703199214,0.9534883720930232,4.8397847598330435e-34,0.0314823734400857,1.9221746271701463,0.0614285714285714,regression,RandomForest
